date,open,high,low,close,volume
2021-08-19,9.8231649600,11.7914770400,9.8231649600,9.8415604000,490918560
2021-08-20,8.8574043600,9.0229633200,8.8574043600,8.8574043600,73841698
2021-08-23,8.0020164000,8.5354841600,7.9928186800,8.1951685200,309995456
2021-08-24,8.0480050000,8.1307844800,7.8272597200,7.8548528800,224612176
2021-08-25,7.8180620000,7.9284346400,7.6892939200,7.6984916400,154736520
2021-08-26,7.7168870800,7.7352825200,7.4685486400,7.4777463600,145447120
2021-08-27,7.4685486400,7.5145372400,7.3673737200,7.3765714400,89658158
2021-08-30,7.3581760000,7.3765714400,7.1282330000,7.1374307200,119283569
2021-08-31,7.0914421200,7.2294079200,7.0362558000,7.1926170400,100112273
2021-09-01,7.1466284400,7.4409554800,7.0546512400,7.2845942400,133898245
2021-09-02,7.2110124800,7.2386056400,7.1374307200,7.1742216000,82510215
2021-09-03,7.1742216000,7.5237349600,7.1466284400,7.3489782800,126283301
2021-09-06,7.2753965200,7.3765714400,7.2202102000,7.3121874000,78039932
2021-09-07,7.2845942400,7.3489782800,7.2202102000,7.3121874000,73919958
2021-09-08,7.2753965200,7.3765714400,7.2478033600,7.3029896800,64366101
2021-09-09,7.2937919600,7.3857691600,7.2661988000,7.3581760000,68999206
2021-09-10,7.3305828400,7.5421304000,7.3305828400,7.4409554800,114331210
2021-09-13,7.4041646000,7.4041646000,7.2845942400,7.3213851200,62627367
2021-09-14,7.2845942400,7.3213851200,7.1374307200,7.1466284400,69536629
2021-09-15,7.1374307200,7.1650238800,7.1098375600,7.1282330000,34203869
2021-09-16,7.1190352800,7.1558261600,7.0454535200,7.0454535200,41931408
2021-09-17,7.0454535200,7.0638489600,6.9258831600,6.9534763200,49010792
2021-09-22,6.8614991200,6.8706968400,6.8247082400,6.8614991200,32384788
2021-09-23,6.9350808800,7.0178603600,6.9166854400,6.9350808800,29306857
2021-09-24,6.9442786000,6.9534763200,6.8431036800,6.8523014000,25339720
2021-09-27,6.8614991200,6.8706968400,6.7327310400,6.7419287600,36142467
2021-09-28,6.7327310400,6.8247082400,6.7235333200,6.7695219200,22394132
2021-09-29,6.7327310400,6.7787196400,6.6775447200,6.7143356000,31200906
2021-09-30,6.7143356000,6.7235333200,6.6867424400,6.7051378800,18348026
2021-10-08,6.7143356000,6.7879173600,6.7143356000,6.7695219200,18649978
2021-10-11,6.7695219200,6.9166854400,6.7695219200,6.8339059600,27501054
2021-10-12,6.8063128000,6.8155105200,6.7051378800,6.7327310400,23749443
2021-10-13,6.7327310400,6.8890922800,6.6775447200,6.8247082400,33665534
2021-10-14,6.7879173600,6.7971150800,6.7511264800,6.7603242000,17830382
2021-10-15,6.7511264800,6.7971150800,6.7235333200,6.7327310400,17285333
2021-10-18,6.7235333200,6.7419287600,6.6959401600,6.7051378800,15696145
2021-10-19,6.7235333200,6.7419287600,6.7051378800,6.7051378800,13368684
2021-10-20,6.7051378800,6.7143356000,6.6775447200,6.6775447200,15110282
2021-10-21,6.6867424400,6.7511264800,6.6867424400,6.7143356000,24749631
2021-10-22,6.7143356000,6.7511264800,6.6867424400,6.6867424400,18965574
2021-10-25,6.6775447200,6.6959401600,6.6223584000,6.6407538400,20706527
2021-10-26,6.6315561200,6.6591492800,6.6131606800,6.6131606800,15829764
2021-10-27,6.6039629600,6.6223584000,6.4751948800,6.4935903200,27462316
2021-10-28,6.4843926000,6.4843926000,6.3188336400,6.3372290800,28868838
2021-10-29,6.3464268000,6.3832176800,6.3004382000,6.3648222400,14840419
